Timestamp,Experiment,Model,Dataset,Pearson_r,RMSE,R2,RPIQ,MAE,Notes,最优参数,最优验证RMSE,最优trial编号,最优迭代轮数,CV 最优参数:,CV 最优 RMSE:
2026-01-21 23:30:27,PH,04-XGBoost-TS&RGB-Preprocessing,Training,0.99230593,0.0188598949462175,0.979973316192627,10.781258,0.01305534,XGBoost + 透射光谱&RGB + SG_2 预处理,"{'learning_rate': 0.06830722417428445, 'max_depth': 8, 'min_child_weight': 6.403889612535535, 'subsample': 0.7048143740473232, 'colsample_bytree': 0.8703790683541198, 'reg_lambda': 0.01650251202963039, 'reg_alpha': 0.009650937966264315, 'gamma': 0.005000479628619818}",0.0619606152176857,25.0,87.0,,
2026-01-21 23:30:27,PH,04-XGBoost-TS&RGB-Preprocessing,Validation,0.87328964,0.0619606152176857,0.750798761844635,3.6851351,0.047081515,XGBoost + 透射光谱&RGB + SG_2 预处理,0,0.0,0.0,0.0,,
2026-01-21 23:30:27,PH,04-XGBoost-TS&RGB-Preprocessing,Test,0.81544757,0.0813440158963203,0.6292403936386108,2.3562472,0.06175795,XGBoost + 透射光谱&RGB + SG_2 预处理,0,0.0,0.0,0.0,,
2026-01-21 23:33:57,GLU,04-XGBoost-TS&RGB-Preprocessing,Training,0.92764693,1.2514957189559937,0.8351752758026123,3.2034118,0.95388675,XGBoost + 透射光谱&RGB + Raw 预处理,"{'learning_rate': 0.06824653761562267, 'max_depth': 6, 'min_child_weight': 9.30234798851818, 'subsample': 0.5373839017498561, 'colsample_bytree': 0.4874509418932388, 'reg_lambda': 0.3892629982235451, 'reg_alpha': 0.12303285732117583, 'gamma': 0.12630789209851645}",1.7794188261032104,43.0,39.0,,
2026-01-21 23:33:57,GLU,04-XGBoost-TS&RGB-Preprocessing,Validation,0.82174265,1.7794188261032104,0.6709564328193665,2.5891368,1.3854914,XGBoost + 透射光谱&RGB + Raw 预处理,0,0.0,0.0,0.0,,
2026-01-21 23:33:57,GLU,04-XGBoost-TS&RGB-Preprocessing,Test,0.81105363,2.169555902481079,0.6458917856216431,2.2661374,1.7054269,XGBoost + 透射光谱&RGB + Raw 预处理,0,0.0,0.0,0.0,,
2026-01-21 23:38:57,GLU,04-XGBoost-TS&RGB-Preprocessing,Training,0.9823539,0.6188734173774719,0.95969420671463,6.4779906,0.43917766,XGBoost + 透射光谱&RGB + Detrend 预处理,"{'learning_rate': 0.030870233029471845, 'max_depth': 7, 'min_child_weight': 8.240024790313422, 'subsample': 0.5125352272127143, 'colsample_bytree': 0.473756351267196, 'reg_lambda': 37.280538908992845, 'reg_alpha': 0.00958810566910966, 'gamma': 0.268909096943063}",1.5268880128860474,89.0,1012.0,,
2026-01-21 23:38:57,GLU,04-XGBoost-TS&RGB-Preprocessing,Validation,0.87192327,1.5268880128860474,0.7577234506607056,3.017352,1.2246791,XGBoost + 透射光谱&RGB + Detrend 预处理,0,0.0,0.0,0.0,,
2026-01-21 23:38:57,GLU,04-XGBoost-TS&RGB-Preprocessing,Test,0.8477546,1.9416375160217283,0.7163841128349304,2.532147,1.4536053,XGBoost + 透射光谱&RGB + Detrend 预处理,0,0.0,0.0,0.0,,
2026-01-21 23:46:03,GLU,04-XGBoost-TS&RGB-Preprocessing,Training,0.9643853,0.8552367091178894,0.9230273962020874,4.687657,0.62654024,XGBoost + 透射光谱&RGB + SNV 预处理,"{'learning_rate': 0.04442528644391043, 'max_depth': 4, 'min_child_weight': 8.514498146631308, 'subsample': 0.7061263810064461, 'colsample_bytree': 0.9183604973777273, 'reg_lambda': 0.05093842061847427, 'reg_alpha': 1.4682039470975734, 'gamma': 2.8189424980106983}",1.5352904796600342,26.0,91.0,,
2026-01-21 23:46:03,GLU,04-XGBoost-TS&RGB-Preprocessing,Validation,0.87961316,1.5352904796600342,0.7550495862960815,3.0008385,1.1994351,XGBoost + 透射光谱&RGB + SNV 预处理,0,0.0,0.0,0.0,,
2026-01-21 23:46:03,GLU,04-XGBoost-TS&RGB-Preprocessing,Test,0.8433425,1.9633711576461792,0.7099992632865906,2.5041173,1.5083958,XGBoost + 透射光谱&RGB + SNV 预处理,0,0.0,0.0,0.0,,
2026-01-21 23:54:54,GLU,04-XGBoost-TS&RGB-Preprocessing,Training,0.9822604,0.5959790349006653,0.9626212120056152,6.726841,0.45668238,XGBoost + 透射光谱&RGB + MSC 预处理,"{'learning_rate': 0.045222550560441256, 'max_depth': 2, 'min_child_weight': 6.035979145523622, 'subsample': 0.6156976860757468, 'colsample_bytree': 0.9175732252878152, 'reg_lambda': 0.0020345972669163874, 'reg_alpha': 0.0011019938071789887, 'gamma': 2.339005346749209}",1.4969964027404783,97.0,200.0,,
2026-01-21 23:54:54,GLU,04-XGBoost-TS&RGB-Preprocessing,Validation,0.88862133,1.4969964027404783,0.7671165466308594,3.0776017,1.1472781,XGBoost + 透射光谱&RGB + MSC 预处理,0,0.0,0.0,0.0,,
2026-01-21 23:54:54,GLU,04-XGBoost-TS&RGB-Preprocessing,Test,0.8488057,1.929409623146057,0.7199450731277466,2.548195,1.495524,XGBoost + 透射光谱&RGB + MSC 预处理,0,0.0,0.0,0.0,,
2026-01-21 23:59:38,GLU,04-XGBoost-TS&RGB-Preprocessing,Training,0.97561264,0.7485842704772949,0.9410281181335448,5.3555174,0.4966017,XGBoost + 透射光谱&RGB + SG_1 预处理,"{'learning_rate': 0.062098484846306444, 'max_depth': 5, 'min_child_weight': 3.789125489195115, 'subsample': 0.5373393399262019, 'colsample_bytree': 0.902243765660461, 'reg_lambda': 21.98908709561101, 'reg_alpha': 0.021229055622860288, 'gamma': 1.6330631733470367}",1.4977079629898071,65.0,199.0,,
2026-01-21 23:59:38,GLU,04-XGBoost-TS&RGB-Preprocessing,Validation,0.8830531,1.4977079629898071,0.7668951749801636,3.0761395,1.245126,XGBoost + 透射光谱&RGB + SG_1 预处理,0,0.0,0.0,0.0,,
2026-01-21 23:59:38,GLU,04-XGBoost-TS&RGB-Preprocessing,Test,0.8443254,1.9726483821868896,0.7072522044181824,2.4923406,1.4142252,XGBoost + 透射光谱&RGB + SG_1 预处理,0,0.0,0.0,0.0,,
2026-01-22 00:05:19,GLU,04-XGBoost-TS&RGB-Preprocessing,Training,0.99584496,0.3047097623348236,0.990229070186615,13.156966,0.13988847,XGBoost + 透射光谱&RGB + SG_2 预处理,"{'learning_rate': 0.0023291967329998197, 'max_depth': 7, 'min_child_weight': 8.456821665719376, 'subsample': 0.5027650383635514, 'colsample_bytree': 0.8194721339302299, 'reg_lambda': 0.08794846395875264, 'reg_alpha': 0.06744966161222485, 'gamma': 0.017162753261518948}",1.3272693157196045,88.0,4101.0,,
2026-01-22 00:05:19,GLU,04-XGBoost-TS&RGB-Preprocessing,Validation,0.9079776,1.3272693157196045,0.816930890083313,3.471156,1.1018387,XGBoost + 透射光谱&RGB + SG_2 预处理,0,0.0,0.0,0.0,,
