名称,r_mean,g_mean,b_mean,r_std,g_std,b_std
E1,0.42362930990524844,0.6574970105881952,0.6006446377512181,0.20649208626448487,-0.0022452127446247966,-0.051739822738067646
E2,0.4005740405655862,0.6539208488664721,0.6918212324176555,-0.37830663819423604,-0.336014760619573,-0.20162594623984095
E3,0.3629304494353188,0.7976761065451086,1.1568349465069687,-0.48550595233614363,-0.43474455024618003,-0.27802400407642663
E4,0.4069242512273791,0.826639794723749,1.1669075401788707,-0.565257373284758,-0.4792427267243185,-0.05475073198917754
E5,0.3269459223518262,0.7114293954725603,0.9260548198060666,-0.3196297231203506,-0.28197374806687925,-0.15980849258008237
E6,0.2673912439831205,0.6778907977039677,0.9524005388388077,0.1241272862534671,0.1267232341060856,0.15644515082152005
E7,0.005945633853451955,0.5306560313231141,0.7792565780059577,-0.2544225728382505,-0.22191843632318675,-0.11333711654108856
E8,0.12248058086310946,0.6952561235418846,0.9129212041611452,0.07571817111673017,0.08213879070998924,0.5263277377926042
E9,0.006517724904063921,0.5224727423382701,0.7457161492075725,-0.01145372746402678,-0.13778330993074217,-0.0514548900082189
E10,0.6647656877381922,0.5438008419759343,0.4545266230562247,-0.38332733724049556,-0.2955868771816998,-0.06057576978572463
E11,0.7964610475890668,0.6108780375131196,0.5165319399455952,0.533617629885441,0.6283985382597007,0.7164988479740808
E12,0.6754065812795748,0.4128037828720939,0.17453468155831597,-0.23673710932370182,-0.20563025289386924,-0.10073316403200146
E13,0.5845585224423946,0.23650867529309372,-0.09389339915262995,-0.19209266070444544,-0.13120787522895627,0.1489757565959476
E14,0.35240397410405866,0.23090280016174392,-0.05355069930309012,-0.2986326544089347,-0.26263560030681743,-0.14484444842873642
E15,0.04261667019767899,-0.32791274094895745,-1.158579631563151,-0.07682078787090765,0.11920360440787528,-0.4651181964077121
E16,0.059722192610976776,-0.4071682169439027,-1.158631956725083,0.09698374959796345,-0.14089152170100538,-0.5798826413601873
F4,0.9817613388822827,1.0801928825612366,1.2790926873609891,-0.2893895305784296,-0.2541227504011696,-0.13825712355034342
F5,0.9194606234706395,0.9461351445063718,1.1434397050523872,-0.4508404088766391,-0.4028178365312188,-0.2533188068897166
F6,0.9045290470496672,0.9377263318093472,1.1366112714202667,-0.6247377374241091,-0.5629760129295585,-0.3772507393870688
F7,0.8326172019877431,0.9962014086104958,1.2108868387826814,-0.35148307879571083,-0.3113104572604353,-0.18250951943510552
F8,0.7331305682863222,0.8906885289830788,1.0466119928972986,0.10466398332410212,-0.12674991263770047,-0.04622216189184239
F9,0.697031622992707,0.9198455232007314,1.1153934182568577,-0.38628325963974997,-0.34336117102854413,-0.04910724587169361
F10,0.4944541819710099,0.7810195695169025,0.9892636154198723,-0.3114790597972908,-0.4359937303105826,-0.32475786048686967
F11,0.757787692567698,0.8614026640727515,1.0650042873163819,-0.3859654163227639,-0.33430154349403524,-0.12952387812453625
