名称,L*,a*,b*
E1,0.6131958078276096,-0.9005589233654692,-0.32333497467970945
E2,0.6237818878122471,-0.8683029734966854,-0.517970594246201
E3,0.7528829890818485,-0.8893705127098762,-1.2968934059163026
E4,0.784395856320885,-0.9048438465952706,-1.2679880672019825
E5,0.6590454522643837,-0.8893705127098762,-0.9074320000812518
E6,0.6230107164226377,-0.8893705127098762,-1.0052727682951843
E7,0.4623616946690175,-0.8893705127098762,-0.9074320000812518
E8,0.6270418395955957,-1.034462774296767,-0.9561146758106331
E9,0.4571738144116455,-0.8790152815711892,-0.87415282721937
E10,0.5484524643454066,-0.46004501021281713,-0.09817759943132068
E11,0.6233963021174425,-0.495038549922863,-0.1127253521395147
E12,0.44182049310942306,-0.30816828684540726,0.35831756888266353
E13,0.2792084896367972,-0.1397469987851526,0.6725680440498615
E14,0.24366449922480268,-0.29840818393308155,0.5389759358471646
E15,-0.2922996165536947,0.3709920450781356,1.6322443060354983
E16,-0.3467723592561005,0.5678604623584615,1.5882207145067804
F4,1.0958088847431329,-0.8893705127098762,-1.1020676196477432
F5,0.9503028648218418,-0.7674882519510771,-0.9995677672331473
F6,0.9411539678814763,-0.7674882519510771,-0.9998530172862492
F7,1.0000434194516448,-0.8893705127098762,-1.1018774529456754
F8,0.8810025994919471,-0.8109326124754538,-0.8944055809896009
F9,0.8930609157658388,-0.8893705127098762,-0.9796953468670523
F10,0.743734092141483,-0.8588999475201764,-0.912566501037085
F11,0.8581128305185424,-0.7672502006605325,-0.9463210906541365
F12,0.7862186250599618,-0.7674882519510771,-0.6647792882426166
F13,0.7091365393440091,-0.8668746657534182,-0.517970594246201
F14,0.7266631618351307,-0.8287864592662935,-0.7548232216717653
F15,0.5995250422845348,-0.8738971788244818,-0.517780427544133
F16,0.4618358959942839,-0.6456059911922779,-0.21503503785204273
F17,0.2741257691143719,-0.7510627129035046,0.11490419023575672
F18,0.13513965275977796,-0.748087071771698,0.16358686596513808
F19,-0.05779340762248818,-0.32649823621733604,0.4966638446370578
F20,-0.2277665925413851,-0.1542681275083689,0.989575936397044
F21,-0.48702039243005524,0.3946781484873163,1.4352316026931582
F22,-0.49361040248671695,0.49085086986730625,1.4604286907171544
G1,0.9541236685249063,-0.8893705127098762,-1.1002610359780982
G2,1.1272866987371872,-0.9254352832273725,-1.186881968770025
G3,0.9890367005272205,-0.8741352301150264,-0.9521211750672074
G4,0.914583608184936,-0.8893705127098762,-0.9205535025239366
G5,0.7641350807211486,-0.8898466152909653,-0.9067664166240141
G6,0.7299932201084438,-0.8799674867333673,-0.6539397862247466
G7,0.8057432825150711,-0.7732014829241458,-0.8564673239270557
G8,0.7505344216680382,-0.787246509066273,-0.8627428250952962
G9,0.6861416106356576,-0.8893705127098762,-0.9074320000812518
G10,0.10990131637256292,-0.4336213169623744,0.5530482718001889
G11,-0.2893901972201685,0.04521885396794689,1.1033907075846798
G12,-0.23376069743334865,-0.13272448571408896,1.14313554831687
G13,-0.19288861378405317,0.5786917960782377,1.6692317295877042
G14,-0.02256489641533384,0.4051524052712756,1.8324898433129928
G15,-0.35332731606777995,0.816624060977495,1.6244474712507146
G16,-0.38105443284873425,0.812577189038238,1.5692991276510249
G17,-0.7189326612325757,1.0069460677678463,1.252576485356944
G18,-0.8560609556031108,1.125019507877933,1.1714703869249865
G19,-0.9856878555474459,1.2076233056968848,0.9763593506033252
G20,-1.4778704683431216,1.5404190098781372,0.4007247434438043
G21,-1.657132763182313,1.7119349647154707,0.17461653468507604
G22,-2.0972613071793575,1.9171351771648553,-0.4193691592239969
H1,0.9750504557793054,-0.9122234366021511,-1.3334054127133388
H2,1.0876414786622703,-0.8893705127098762,-1.2968934059163026
H3,0.9998681532267335,-0.8893705127098762,-0.9809314304304936
H4,0.9116741888514098,-0.8893705127098762,-1.0967429519898422
H5,0.7859381991001038,-0.8893705127098762,-0.9075270834322857
H6,0.7712508894525439,-0.8216449205499575,-0.8994449985944002
H7,0.7665537546249234,-0.7701068161470669,-0.8733921604110985
H8,0.6970081165801529,-0.8893705127098762,-0.9085730002936592
H9,0.5319423859587701,-0.855567229452553,-0.9166550851315447
H10,0.6827414458723801,-0.8893705127098762,-0.9074320000812518
H11,0.49874696296058585,-0.8893705127098762,-0.6153359457049636
H12,0.5649274894870608,-0.6463201450639116,-0.2258745398699128
H13,0.7142192598664343,-0.6456059911922779,-0.2258745398699128
H14,0.5789838407249404,-0.6439396321584663,0.17062303394165024
H15,0.3838424259087929,-0.40184146967467965,0.35784215212749376
H16,0.2763691767932355,-0.48135060071655256,0.4827816753861014
H17,0.6162454401410649,-0.2798401832706082,0.843337742506832
H18,-0.20992449084542333,0.3004098374316826,1.6988977351102958
H19,-0.21581343600244018,-0.009532942857294911,1.3277874160247969
H20,-0.5004808385032365,0.38265655831481754,1.4276249346104424
H21,-0.4529836915522971,0.43609907304206447,1.4947537804404096
I1,0.8401305158426516,-0.8893705127098762,-0.9099992505591684
I2,0.971089439096312,-0.8893705127098762,-0.9804560136753239
I3,1.0231785611399253,-0.8893705127098762,-0.9676197612857409
I4,0.8907474015970107,-0.7862943039040949,-0.9355766719873004
I5,0.8326291214164516,-0.8893705127098762,-0.9078123334853876
I6,0.7894435235983281,-0.768797534049072,-0.8818545786531198
I7,0.67524005144618,-0.7674882519510771,-0.6380608666020772
I8,0.7253661917707876,-0.8247395873270364,-0.8870841629599869
I9,1.2713204823692243,-0.6372741960232194,-0.6153359457049636
I10,-0.18805126597650362,-0.17914448737027225,1.2203432293564358
I11,-0.3570079067909155,0.15377024245625237,1.534403537821566
I12,-0.19555266040270364,-0.1596242815456208,1.21273656127372
I13,0.019639210543286878,0.19423896184882242,1.7142061546267615
I14,0.12280091052602839,0.18055101264251194,1.6771236477235218
I15,-0.15517132218315957,0.5707170778449959,1.7690692481733494
I16,-0.3205174787644004,0.6966462105430521,1.620168720454187
I17,-0.5002004125433787,0.7997224193488334,1.4698419424695153
I18,-0.45918811591415415,0.7767504698112863,1.506639199319653
I19,-0.7893896836468844,1.0834795576779126,1.227474480683982
I20,-0.906397415397612,1.0747906855730374,1.0787641196668873
I21,-0.973734699008501,1.5180421885669515,1.0145828577189724
I22,-1.1005573393542565,0.8897058071746655,0.8701512474984054
